epoch,step,train_cce,train_loss,train_mse
0,49,4.947046756744385,23.488784790039062,22.99407958984375
1,99,3.3319644927978516,10.798274993896484,10.465079307556152
2,149,2.5170328617095947,11.355544090270996,11.103843688964844
3,199,2.1774489879608154,6.673954486846924,6.456210136413574
4,249,1.9652018547058105,3.455643892288208,3.2591238021850586
5,299,1.709425926208496,4.115081787109375,3.944139003753662
6,349,1.6166108846664429,2.920248031616211,2.758587121963501
7,399,1.5459494590759277,1.4982969760894775,1.3437014818191528
8,449,1.4150816202163696,2.4646499156951904,2.3231420516967773
9,499,1.3095252513885498,1.9453799724578857,1.814427137374878
10,549,1.1981570720672607,0.7304555773735046,0.610639750957489
11,599,1.1248605251312256,1.4194036722183228,1.306917667388916
12,649,1.053037166595459,1.2594799995422363,1.1541762351989746
13,699,1.0201457738876343,0.703227698802948,0.6012133359909058
14,749,0.9431561827659607,0.9785676002502441,0.8842517137527466
15,799,0.886002779006958,1.115024447441101,1.0264239311218262
16,849,0.8400399088859558,0.9853668808937073,0.9013630747795105
17,899,0.7932245135307312,1.0113447904586792,0.9320224523544312
18,949,0.7762944102287292,1.0160667896270752,0.9384373426437378
19,999,0.7485522627830505,0.47019827365875244,0.39534297585487366
20,1049,0.7072252631187439,0.9764110445976257,0.9056885242462158
21,1099,0.6775726079940796,0.8141459822654724,0.7463885545730591
22,1149,0.6506989002227783,1.318090796470642,1.2530208826065063
23,1199,0.6392672061920166,1.261901617050171,1.1979750394821167
24,1249,0.6392814517021179,1.8075613975524902,1.7436331510543823
25,1299,0.6142460107803345,0.5003376007080078,0.4389129877090454
26,1349,0.5657564997673035,0.6216220259666443,0.5650463104248047
27,1399,0.5634542107582092,0.852287232875824,0.7959418296813965
28,1449,0.5474611520767212,0.45261505246162415,0.3978688716888428
29,1499,0.5311030745506287,0.682716965675354,0.6296068429946899
30,1549,0.48049527406692505,0.3814995288848877,0.3334500789642334
31,1599,0.48459041118621826,1.0851560831069946,1.0366971492767334
32,1649,0.5013352036476135,0.8461688756942749,0.7960355281829834
33,1699,0.45185038447380066,0.414046972990036,0.3688619136810303
34,1749,0.4450458586215973,0.4215567111968994,0.37705206871032715
35,1799,0.4210778474807739,0.7678738236427307,0.7257662415504456
36,1849,0.409861296415329,0.425083726644516,0.3840976357460022
37,1899,0.3946835994720459,0.6940024495124817,0.6545339226722717
38,1949,0.3895207643508911,0.4836435317993164,0.4446914792060852
39,1999,0.3686225116252899,0.52150958776474,0.48464736342430115
