epoch,step,train_cce,train_loss,train_mse
0,49,3.6760873794555664,13.540426254272461,13.172818183898926
1,99,2.060502052307129,4.552990913391113,4.346940994262695
2,149,1.8152170181274414,4.076690673828125,3.8951690196990967
3,199,1.5993849039077759,2.9332025051116943,2.773263454437256
4,249,1.4583330154418945,2.7755041122436523,2.629671096801758
5,299,1.3292444944381714,1.6962529420852661,1.563328742980957
6,349,1.3631923198699951,1.2357251644134521,1.0994060039520264
7,399,1.183078646659851,1.2703214883804321,1.1520134210586548
8,449,1.091082215309143,0.9691056609153748,0.8599976301193237
9,499,0.9822385907173157,0.8258918523788452,0.7276681661605835
10,549,0.9108121991157532,1.6355094909667969,1.5444282293319702
11,599,0.8688108921051025,1.5425235033035278,1.4556422233581543
12,649,0.7859386205673218,0.6079609394073486,0.5293670892715454
13,699,0.7457837462425232,1.2001292705535889,1.1255508661270142
14,749,0.7148004174232483,1.1441422700881958,1.0726622343063354
15,799,0.6160624623298645,0.7588585615158081,0.6972522735595703
16,849,0.5886489152908325,1.4395347833633423,1.3806700706481934
17,899,0.5350750088691711,0.49989649653434753,0.44638901948928833
18,949,0.5027269124984741,1.1924878358840942,1.1422147750854492
19,999,0.469262957572937,0.45464760065078735,0.4077213406562805
20,1049,0.44820964336395264,0.8411225080490112,0.7963017225265503
21,1099,0.4337448179721832,0.7904816269874573,0.7471071481704712
22,1149,0.4173814058303833,0.8113269209861755,0.7695887088775635
23,1199,0.39024338126182556,0.4540119469165802,0.4149876534938812
24,1249,0.37269723415374756,1.2384699583053589,1.201200246810913
25,1299,0.3603665232658386,0.9284605383872986,0.8924238681793213
26,1349,0.3838855028152466,0.5233098864555359,0.48492133617401123
27,1399,0.3073123097419739,0.5812718272209167,0.5505406856536865
28,1449,0.30131134390830994,0.5388193130493164,0.50868821144104
29,1499,0.2847248315811157,0.9661551117897034,0.9376828670501709
30,1549,0.28762054443359375,0.7394784688949585,0.7107164859771729
31,1599,0.25144198536872864,0.5665488243103027,0.5414047837257385
32,1649,0.25130417943000793,0.7866952419281006,0.7615648508071899
33,1699,0.2363615483045578,0.6208431124687195,0.5972069501876831
34,1749,0.21547622978687286,0.3715556263923645,0.3500079810619354
35,1799,0.18543779850006104,0.4422593414783478,0.4237155616283417
36,1849,0.1813543736934662,0.294945627450943,0.2768101990222931
37,1899,0.17350293695926666,0.8819748163223267,0.864624559879303
38,1949,0.1825379580259323,0.5199018716812134,0.5016481280326843
39,1999,0.16191066801548004,0.421488493680954,0.4052974581718445
