epoch,step,train_cce,train_loss,train_mse
0,49,4.687355995178223,19.375024795532227,18.906286239624023
1,99,4.592021942138672,7.501462936401367,7.042262077331543
2,149,4.3509111404418945,5.504006385803223,5.068914413452148
3,199,4.0283403396606445,4.371911525726318,3.9690768718719482
4,249,2.9711220264434814,1.4046995639801025,1.107587456703186
5,299,1.9696143865585327,1.7617565393447876,1.5647953748703003
6,349,1.6657873392105103,1.5095856189727783,1.3430068492889404
7,399,1.6176952123641968,2.3865084648132324,2.2247393131256104
8,449,1.5176689624786377,1.5701984167099,1.4184315204620361
9,499,1.3372050523757935,1.1456221342086792,1.0119014978408813
10,549,1.1996759176254272,0.7774336934089661,0.6574660539627075
11,599,1.1032146215438843,0.8350518941879272,0.7247303128242493
12,649,1.0234346389770508,0.929860532283783,0.8275171518325806
13,699,0.9185722470283508,0.8406586647033691,0.7488016486167908
14,749,0.9528854489326477,0.7606895565986633,0.6654011607170105
15,799,0.8158489465713501,1.193524956703186,1.1119402647018433
16,849,0.7297894954681396,1.0554327964782715,0.9824537634849548
17,899,0.7017426490783691,0.8437850475311279,0.7736105918884277
18,949,0.6527966856956482,0.7604877948760986,0.6952080726623535
19,999,0.5956835746765137,0.553206741809845,0.49363839626312256
20,1049,0.570631742477417,0.9854698181152344,0.9284065961837769
21,1099,0.5578750967979431,0.455033540725708,0.3992460370063782
22,1149,0.5113370418548584,0.9577716588973999,0.9066379070281982
23,1199,0.4677582085132599,0.595125138759613,0.5483493208885193
24,1249,0.44652995467185974,1.0583903789520264,1.013737440109253
25,1299,0.4281817376613617,0.5374937057495117,0.49467551708221436
26,1349,0.39680343866348267,0.4330374598503113,0.39335715770721436
27,1399,0.353210985660553,0.8889268636703491,0.8536057472229004
28,1449,0.3471321761608124,0.567779541015625,0.5330662727355957
29,1499,0.3200467824935913,0.5138575434684753,0.4818527102470398
30,1549,0.30805906653404236,0.646486759185791,0.6156808733940125
31,1599,0.2900528907775879,0.6106338500976562,0.5816284418106079
32,1649,0.2993761897087097,0.4169864356517792,0.38704872131347656
33,1699,0.2694936692714691,0.47775232791900635,0.45080289244651794
34,1749,0.2720147371292114,0.41918128728866577,0.39198002219200134
35,1799,0.25822123885154724,0.8784592151641846,0.8526374101638794
36,1849,0.2416146993637085,0.3972933292388916,0.3731318414211273
37,1899,0.2330365628004074,0.2754668891429901,0.25216326117515564
38,1949,0.2140628695487976,0.3622928261756897,0.34088650345802307
39,1999,0.22549201548099518,0.7461743354797363,0.7236251831054688
