epoch,step,train_cce,train_loss,train_mse
0,49,4.1557769775390625,16.685575485229492,16.269994735717773
1,99,3.5637927055358887,7.042868614196777,6.686491012573242
2,149,2.760211706161499,3.1146740913391113,2.8386528491973877
3,199,2.030914783477783,1.5835374593734741,1.3804457187652588
4,249,1.6622271537780762,1.7254281044006348,1.5592055320739746
5,299,1.4647812843322754,1.3638348579406738,1.2173570394515991
6,349,1.353144645690918,1.0935825109481812,0.9582677483558655
7,399,1.2312233448028564,0.7851235866546631,0.6620012521743774
8,449,1.1352218389511108,0.7502869367599487,0.6367645859718323
9,499,1.0598504543304443,0.9316540360450745,0.8256689310073853
10,549,0.961066484451294,0.7947455644607544,0.698638916015625
11,599,0.8893992900848389,0.9210362434387207,0.8320963382720947
12,649,0.8249579668045044,0.739654541015625,0.6571587324142456
13,699,0.7624256610870361,0.5429291725158691,0.46668651700019836
14,749,0.6887592077255249,0.6067211627960205,0.5378451347351074
15,799,0.6166066527366638,0.4938906729221344,0.43222999572753906
16,849,0.5540698766708374,0.550365686416626,0.4949585795402527
17,899,0.4861566126346588,0.5004921555519104,0.45187652111053467
18,949,0.4174368679523468,0.5446751117706299,0.502931535243988
19,999,0.3638860583305359,0.2969319224357605,0.2605433166027069
20,1049,0.33519303798675537,0.36300384998321533,0.3294845521450043
21,1099,0.3063059151172638,0.4130679666996002,0.38243743777275085
22,1149,0.31476545333862305,0.5788213014602661,0.5473447442054749
23,1199,0.2856346666812897,0.33387255668640137,0.30530911684036255
24,1249,0.27159011363983154,0.3901395797729492,0.36298057436943054
25,1299,0.26467666029930115,0.3352990746498108,0.30883148312568665
26,1349,0.2507804036140442,0.36973899602890015,0.34466099739074707
27,1399,0.23772525787353516,0.4684627056121826,0.44469016790390015
28,1449,0.22732998430728912,0.2780613899230957,0.2553284168243408
29,1499,0.22940367460250854,0.4022125005722046,0.37927207350730896
30,1549,0.22527877986431122,0.308281809091568,0.28575390577316284
31,1599,0.21539492905139923,0.31785035133361816,0.29631081223487854
32,1649,0.2103976607322693,0.3157682716846466,0.29472848773002625
33,1699,0.21246065199375153,0.29568663239479065,0.2744406461715698
34,1749,0.2092415690422058,0.36133578419685364,0.3404116928577423
35,1799,0.19339649379253387,0.30215445160865784,0.28281480073928833
36,1849,0.18869543075561523,0.24918922781944275,0.23031969368457794
37,1899,0.17722581326961517,0.3317963778972626,0.3140738010406494
38,1949,0.1778894066810608,0.3423384130001068,0.32454949617385864
39,1999,0.16930511593818665,0.22736407816410065,0.21043361723423004
