epoch,step,train_cce,train_loss,train_mse
0,49,5.013304710388184,20.524085998535156,20.022754669189453
1,99,4.815496921539307,7.723161697387695,7.241611480712891
2,149,4.396509170532227,5.967872142791748,5.52822208404541
3,199,3.192776679992676,2.84548282623291,2.526205062866211
4,249,2.1127634048461914,2.067115545272827,1.855839490890503
5,299,1.7634071111679077,2.605729341506958,2.4293885231018066
6,349,1.6244267225265503,1.3287663459777832,1.1663234233856201
7,399,1.478732705116272,1.4650678634643555,1.3171948194503784
8,449,1.3823901414871216,1.807888150215149,1.6696487665176392
9,499,1.2051234245300293,0.799681544303894,0.6791690587997437
10,549,1.0595288276672363,0.9010849595069885,0.7951322793960571
11,599,0.9279197454452515,0.9169774055480957,0.8241854310035706
12,649,0.816511869430542,0.6347267031669617,0.5530755519866943
13,699,0.7661314606666565,0.881998598575592,0.8053853511810303
14,749,0.66517174243927,0.49288031458854675,0.4263632297515869
15,799,0.6979106068611145,0.49531280994415283,0.4255218207836151
16,849,0.5278208255767822,0.4322105646133423,0.3794284760951996
17,899,0.47318512201309204,0.5528666973114014,0.5055481791496277
18,949,0.4263968765735626,0.3995170593261719,0.35687729716300964
19,999,0.39198386669158936,0.3952285647392273,0.35603010654449463
20,1049,0.3737999200820923,0.42333343625068665,0.38595345616340637
21,1099,0.3527486324310303,0.4245022237300873,0.38922733068466187
22,1149,0.3260711431503296,0.37677013874053955,0.3441629111766815
23,1199,0.32123127579689026,0.7394058704376221,0.7072827219963074
24,1249,0.33125606179237366,0.5174212455749512,0.4842956066131592
25,1299,0.42826759815216064,0.3584733307361603,0.3156464695930481
26,1349,0.29683369398117065,1.043479084968567,1.0137954950332642
27,1399,0.2937215566635132,0.32995086908340454,0.30057862401008606
28,1449,0.2755586504936218,0.3343082666397095,0.30675238370895386
29,1499,0.2660346031188965,0.4532921612262726,0.4266885817050934
30,1549,0.2496635466814041,0.35076525807380676,0.32579898834228516
31,1599,0.23752997815608978,0.3055403530597687,0.28178736567497253
32,1649,0.245632603764534,0.8921671509742737,0.8676037788391113
33,1699,0.227810800075531,0.8552665710449219,0.8324854373931885
34,1749,0.22601944208145142,0.29537060856819153,0.2727687358856201
35,1799,0.20996659994125366,1.3107386827468872,1.2897419929504395
36,1849,0.2001844048500061,0.4894101023674011,0.4693916440010071
37,1899,0.1927005648612976,0.4482181966304779,0.4289481043815613
38,1949,0.18773257732391357,0.29622629284858704,0.27745306491851807
39,1999,0.16827534139156342,0.6563911437988281,0.639563798904419
