epoch,step,train_cce,train_loss,train_mse
0,49,4.478684902191162,19.288236618041992,18.840368270874023
1,99,3.108029842376709,6.7533416748046875,6.442539215087891
2,149,2.3216054439544678,4.827139854431152,4.594979286193848
3,199,1.7540479898452759,2.5067577362060547,2.331352949142456
4,249,1.4850674867630005,1.433893084526062,1.2853862047195435
5,299,1.3649486303329468,1.8671879768371582,1.7306926250457764
6,349,1.2305985689163208,1.5172227621078491,1.3941632509231567
7,399,1.1055055856704712,1.2505812644958496,1.1400306224822998
8,449,1.0122019052505493,0.570851743221283,0.4696314334869385
9,499,0.9007474780082703,1.2835981845855713,1.1935235261917114
10,549,0.8257188200950623,1.2773014307022095,1.1947295665740967
11,599,0.7821227312088013,0.8835687041282654,0.8053566217422485
12,649,0.716225802898407,1.077301025390625,1.005678415298462
13,699,0.6546863317489624,0.4636053740978241,0.398136705160141
14,749,0.6146091222763062,1.001537561416626,0.9400767683982849
15,799,0.6270592212677002,0.8864770531654358,0.8237713575363159
16,849,0.5324358940124512,0.6777649521827698,0.6245214343070984
17,899,0.49891385436058044,0.7285819053649902,0.6786904335021973
18,949,0.48697006702423096,0.8249776363372803,0.7762804627418518
19,999,0.4498436450958252,0.8038989305496216,0.7589144110679626
20,1049,0.4368970990180969,0.41060173511505127,0.3669120669364929
21,1099,0.40547478199005127,0.27165988087654114,0.23111240565776825
22,1149,0.3931159973144531,0.3126210868358612,0.27330946922302246
23,1199,0.38630223274230957,0.7817354798316956,0.7431052327156067
24,1249,0.3868945837020874,0.4482249319553375,0.4095355272293091
25,1299,0.3715704679489136,0.498971551656723,0.4618145823478699
26,1349,0.35892459750175476,0.7048549056053162,0.6689624190330505
27,1399,0.3192025125026703,0.22999776899814606,0.19807752966880798
28,1449,0.3066130578517914,0.327865332365036,0.29720404744148254
29,1499,0.3062635064125061,0.9685806035995483,0.9379542469978333
30,1549,0.2973532974720001,0.9219287633895874,0.8921934366226196
31,1599,0.28596746921539307,0.6583296060562134,0.6297329068183899
32,1649,0.2868724465370178,0.9335054159164429,0.9048182964324951
33,1699,0.27417463064193726,0.578050971031189,0.5506334900856018
34,1749,0.24968013167381287,0.3269559144973755,0.30198797583580017
35,1799,0.2370278686285019,0.5429075360298157,0.5192047357559204
36,1849,0.2419583648443222,0.9704511761665344,0.9462553262710571
37,1899,0.23432624340057373,0.34731975197792053,0.3238871097564697
38,1949,0.22296133637428284,0.35858723521232605,0.3362910747528076
39,1999,0.21345362067222595,0.5088231563568115,0.4874776601791382
