epoch,step,train_cce,train_loss,train_mse
0,49,4.243142604827881,18.615978240966797,18.191665649414062
1,99,3.2306551933288574,6.037723541259766,5.714658260345459
2,149,2.2910921573638916,5.094107151031494,4.8649983406066895
3,199,1.8978049755096436,3.857865571975708,3.6680843830108643
4,249,1.6164321899414062,2.3162593841552734,2.154615879058838
5,299,1.4044095277786255,2.3095996379852295,2.169158697128296
6,349,1.2634166479110718,1.9730713367462158,1.8467293977737427
7,399,1.1722010374069214,1.1129437685012817,0.9957235455513
8,449,1.0830378532409668,1.2196232080459595,1.1113195419311523
9,499,0.9556581974029541,1.688866376876831,1.5933005809783936
10,549,0.9621437191963196,0.580394983291626,0.4841806888580322
11,599,0.8392082452774048,1.1578631401062012,1.0739424228668213
12,649,0.7347741723060608,0.664402186870575,0.5909247994422913
13,699,0.6781671047210693,1.2121845483779907,1.1443676948547363
14,749,0.5903611779212952,0.5273910164833069,0.46835505962371826
15,799,0.5615070462226868,0.5549587607383728,0.4988080561161041
16,849,0.5006576180458069,1.0583595037460327,1.0082937479019165
17,899,0.47548049688339233,0.4608563184738159,0.413308322429657
18,949,0.43638157844543457,0.6603974103927612,0.6167591214179993
19,999,0.38906410336494446,0.3835356831550598,0.3446292579174042
20,1049,0.3825322389602661,1.147598147392273,1.1093449592590332
21,1099,0.350294291973114,0.6122071146965027,0.5771777033805847
22,1149,0.35813429951667786,0.6594913601875305,0.6236778497695923
23,1199,0.32630228996276855,0.5440270900726318,0.5113968849182129
24,1249,0.3088366389274597,0.43600964546203613,0.40512603521347046
25,1299,0.30631017684936523,0.6480807662010193,0.6174498200416565
26,1349,0.3129338324069977,1.0566641092300415,1.025370717048645
27,1399,0.2929237484931946,0.7244004607200623,0.6951082348823547
28,1449,0.27576136589050293,0.31023287773132324,0.2826567590236664
29,1499,0.2529064118862152,0.45208343863487244,0.4267927408218384
30,1549,0.2398892343044281,0.5416936874389648,0.5177047252655029
31,1599,0.2310117483139038,0.7331469058990479,0.710045576095581
32,1649,0.24000462889671326,0.4137757420539856,0.3897753953933716
33,1699,0.21630948781967163,0.45475760102272034,0.43312668800354004
34,1749,0.20291908085346222,0.6591125726699829,0.6388207674026489
35,1799,0.21257518231868744,0.9365490674972534,0.9152916073799133
36,1849,0.17528057098388672,0.41891616582870483,0.4013883173465729
37,1899,0.16888953745365143,0.3213827908039093,0.30449378490448
38,1949,0.15783722698688507,0.39092808961868286,0.3751443028450012
39,1999,0.16077464818954468,0.6777341365814209,0.6616568565368652
