epoch,step,train_cce,train_loss,train_mse
0,49,5.211345672607422,19.150487899780273,18.629352569580078
1,99,4.564087390899658,6.97458553314209,6.518177509307861
2,149,3.894563913345337,6.226985931396484,5.837530136108398
3,199,2.919623613357544,4.187742233276367,3.895779609680176
4,249,2.2393462657928467,2.4433858394622803,2.2194509506225586
5,299,1.8635441064834595,1.0769648551940918,0.8906102180480957
6,349,1.6704487800598145,1.2240275144577026,1.0569826364517212
7,399,1.5494745969772339,1.2801202535629272,1.1251728534698486
8,449,1.559927225112915,2.817392349243164,2.6613991260528564
9,499,1.3568549156188965,1.3849376440048218,1.2492520809173584
10,549,1.2415505647659302,0.7333837151527405,0.6092286109924316
11,599,1.1677350997924805,1.4360597133636475,1.3192863464355469
12,649,1.1400843858718872,1.1375144720077515,1.0235061645507812
13,699,1.0818332433700562,0.9023246765136719,0.7941415905952454
14,749,1.0498751401901245,2.1172935962677,2.012305974960327
15,799,0.9606273174285889,0.7068548798561096,0.6107922792434692
16,849,0.8718795776367188,0.6922416090965271,0.605053722858429
17,899,0.7869038581848145,1.30875563621521,1.230065107345581
18,949,0.7113930583000183,0.9519005417823792,0.8807613253593445
19,999,0.6380928158760071,0.9580094814300537,0.8942002654075623
20,1049,0.5877367258071899,0.581247866153717,0.5224744081497192
21,1099,0.5248048305511475,0.6641560196876526,0.6116754412651062
22,1149,0.5017772912979126,1.0128297805786133,0.9626521468162537
23,1199,0.45075514912605286,0.5647515654563904,0.5196760296821594
24,1249,0.43681707978248596,0.44903185963630676,0.40535008907318115
25,1299,0.4127473533153534,0.8287969827651978,0.7875223755836487
26,1349,0.3758464753627777,0.4008181691169739,0.3632335364818573
27,1399,0.3358181416988373,0.4056425988674164,0.3720608651638031
28,1449,0.3318234384059906,0.3938993811607361,0.3607170879840851
29,1499,0.3200284540653229,0.795525074005127,0.7635220289230347
30,1549,0.29581257700920105,0.9501984119415283,0.9206172823905945
31,1599,0.2862529754638672,0.6092721223831177,0.5806468725204468
32,1649,0.2825866639614105,0.5363242030143738,0.5080654621124268
33,1699,0.27034562826156616,0.3982696235179901,0.3712350130081177
34,1749,0.24583713710308075,0.36766600608825684,0.34308233857154846
35,1799,0.23456943035125732,0.29797160625457764,0.27451470494270325
36,1849,0.22562475502490997,0.5024738907814026,0.4799114167690277
37,1899,0.2109430730342865,0.27570727467536926,0.25461292266845703
38,1949,0.20810258388519287,0.47727707028388977,0.45646682381629944
39,1999,0.20373445749282837,0.4279243052005768,0.4075508117675781
