epoch,step,train_cce,train_loss,train_mse
0,49,4.4897003173828125,19.70790672302246,19.25893211364746
1,99,3.4599969387054443,7.407788276672363,7.0617876052856445
2,149,2.501577377319336,5.964923858642578,5.714765548706055
3,199,1.9083713293075562,2.8681955337524414,2.6773576736450195
4,249,1.6037914752960205,1.6722960472106934,1.5119163990020752
5,299,1.4605746269226074,2.5828335285186768,2.4367761611938477
6,349,1.3791335821151733,1.5833382606506348,1.4454246759414673
7,399,1.3215786218643188,1.6776331663131714,1.545475721359253
8,449,1.2828181982040405,2.677612066268921,2.549330711364746
9,499,1.2082959413528442,1.528083086013794,1.407253384590149
10,549,1.1488676071166992,0.8324702382087708,0.7175835967063904
11,599,1.0803171396255493,1.380226492881775,1.2721946239471436
12,649,1.0372159481048584,0.7070415616035461,0.6033200621604919
13,699,0.9797728657722473,0.8334699869155884,0.7354927659034729
14,749,0.946744978427887,1.1892826557159424,1.094608187675476
15,799,0.9148463606834412,0.7707720994949341,0.6792875528335571
16,849,0.8561054468154907,0.8582011461257935,0.7725905776023865
17,899,0.8325034976005554,0.7139789462089539,0.6307284832000732
18,949,0.7806390523910522,0.5744166374206543,0.49635276198387146
19,999,0.7231887578964233,0.9531209468841553,0.8808018565177917
20,1049,0.7028323411941528,1.1173495054244995,1.0470662117004395
21,1099,0.629904568195343,0.7856991291046143,0.7227087616920471
22,1149,0.6168180704116821,0.7806312441825867,0.7189493775367737
23,1199,0.5591792464256287,1.171196699142456,1.1152786016464233
24,1249,0.5435635447502136,0.6450101733207703,0.5906537175178528
25,1299,0.4935382008552551,0.9102085828781128,0.8608548641204834
26,1349,0.4882919192314148,0.740814208984375,0.6919849514961243
27,1399,0.48554667830467224,0.4008418917655945,0.35228729248046875
28,1449,0.4192156195640564,0.5202310681343079,0.4783095419406891
29,1499,0.39472565054893494,0.5864797830581665,0.5470072627067566
30,1549,0.37084922194480896,0.5500503778457642,0.5129653811454773
31,1599,0.3361878991127014,0.492287814617157,0.4586690664291382
32,1649,0.34155377745628357,0.3947513699531555,0.3605961203575134
33,1699,0.32004794478416443,0.3918503522872925,0.35984551906585693
34,1749,0.29690325260162354,0.5270087718963623,0.4973183870315552
35,1799,0.2814522981643677,0.5379053354263306,0.5097600221633911
36,1849,0.2698454260826111,0.3711749017238617,0.3441903293132782
37,1899,0.2839679419994354,0.3386900722980499,0.3102933168411255
38,1949,0.25112998485565186,0.5087292194366455,0.4836161434650421
39,1999,0.24845881760120392,0.49498340487480164,0.4701375663280487
