epoch,step,train_cce,train_loss,train_mse
0,49,4.296980381011963,19.514583587646484,19.084888458251953
1,99,3.141253709793091,7.500106334686279,7.185980796813965
2,149,2.3862526416778564,6.484312057495117,6.245687961578369
3,199,1.958372950553894,3.1068661212921143,2.91102933883667
4,249,1.6897083520889282,1.9859552383422852,1.8169840574264526
5,299,1.5305755138397217,1.9346810579299927,1.7816238403320312
6,349,1.4023032188415527,1.500313401222229,1.3600833415985107
7,399,1.3497880697250366,1.1860448122024536,1.0510660409927368
8,449,1.2456691265106201,1.4474611282348633,1.3228939771652222
9,499,1.1674822568893433,1.0960206985473633,0.9792726039886475
10,549,1.043867826461792,1.2246506214141846,1.120263934135437
11,599,0.9797385931015015,0.9659205079078674,0.867946445941925
12,649,0.8970096111297607,1.2070802450180054,1.1173791885375977
13,699,0.8099496960639954,1.0349003076553345,0.9539053440093994
14,749,0.7639200687408447,1.0918536186218262,1.0154613256454468
15,799,0.6962824463844299,0.6011664867401123,0.5315382480621338
16,849,0.6290821433067322,0.7768953442573547,0.7139873504638672
17,899,0.5958008170127869,0.6959651112556458,0.6363850831985474
18,949,0.5541914105415344,0.7268688678741455,0.6714497208595276
19,999,0.4961063861846924,0.44113215804100037,0.3915215730667114
20,1049,0.5093603730201721,1.3924193382263184,1.341483473777771
21,1099,0.4851175546646118,0.8525440096855164,0.8040322661399841
22,1149,0.48085251450538635,0.8507753610610962,0.8026902079582214
23,1199,0.4262675940990448,0.5812599062919617,0.5386331081390381
24,1249,0.4416314363479614,0.8786088824272156,0.834445595741272
25,1299,0.4002865254878998,0.48476937413215637,0.4447406828403473
26,1349,0.39189648628234863,0.9036873579025269,0.8644973635673523
27,1399,0.37793803215026855,0.59169602394104,0.553902268409729
28,1449,0.3750946819782257,0.681794285774231,0.6442848443984985
29,1499,0.4113742411136627,0.7663005590438843,0.7251631021499634
30,1549,0.34307461977005005,0.36471426486968994,0.3304067850112915
31,1599,0.32266613841056824,0.7095855474472046,0.6773191690444946
32,1649,0.302539587020874,0.6149402856826782,0.5846863389015198
33,1699,0.30394279956817627,0.37775179743766785,0.34735745191574097
34,1749,0.29662060737609863,0.41087979078292847,0.3812177777290344
35,1799,0.29858294129371643,0.542286217212677,0.512427806854248
36,1849,0.2797315716743469,0.4629811942577362,0.4350079596042633
37,1899,0.2738242447376251,0.6698594093322754,0.6424769759178162
38,1949,0.2588609755039215,0.6152589321136475,0.5893726944923401
39,1999,0.2424374520778656,0.6883850693702698,0.6641414761543274
